1,Partridge in a Pear Tree,207.68
2,Turtle Dove,62.5
3,French Hen,60.5
4,Calling Bird,149.99
5,Gold Ring,150
6,Goose-a-laying,60
7,Swan-a-Swimming,1000
8,Maid-a-Milking,7.25
9,Lady Dancing,839.2
10,Lord-a-Leeping,534.82
11,Piper Piping,239.56
12,Drummer Drumming,237.83
